iter	Logloss
0	0.6271542791
1	0.5879761027
2	0.5535411694
3	0.5288772681
4	0.5139043552
5	0.5029660377
6	0.4892224558
7	0.4829061892
8	0.4749159083
9	0.4703589564
10	0.4650100005
11	0.4597108632
12	0.4531181764
13	0.4501919518
14	0.4463150351
15	0.4420307412
16	0.4388759306
17	0.4359085454
18	0.4335813411
19	0.4308512279
20	0.4283667264
21	0.4240279254
22	0.4212830685
23	0.4198363628
24	0.4179944324
25	0.4166398958
26	0.41421186
27	0.4135443517
28	0.4101798242
29	0.4082582887
30	0.4067972428
31	0.4053373902
32	0.4043083993
33	0.4033390906
34	0.4025834467
35	0.4018882779
36	0.4007107904
37	0.4000072276
38	0.3988421058
39	0.3983949448
40	0.3979043722
41	0.3971809714
42	0.3958829384
43	0.3951798276
44	0.3946340319
45	0.3941803071
46	0.393655229
47	0.3932699188
48	0.392683141
49	0.3918403157
50	0.3913228625
51	0.3908866086
52	0.390346498
53	0.3889763943
54	0.3880850512
55	0.3871134396
56	0.3866053264
57	0.3861829168
58	0.3856860315
59	0.3853384941
60	0.3847406647
61	0.3837801375
62	0.3825146457
63	0.3822666452
64	0.3817335883
65	0.3816387632
66	0.3813081625
67	0.3809493334
68	0.3801514353
69	0.3796363969
70	0.3793767491
71	0.3789983126
72	0.3787934207
73	0.3776056245
74	0.3774473144
75	0.3766518417
76	0.3762199329
77	0.3757673157
78	0.3753256067
79	0.3750038059
80	0.3747736452
81	0.3741981863
82	0.3739736143
83	0.3734698066
84	0.3730667746
85	0.3726573069
86	0.3724051668
87	0.3722138522
88	0.3720705411
89	0.371829926
90	0.3715390097
91	0.3710775145
92	0.3708026333
93	0.3701052514
94	0.3700397696
95	0.3694275692
96	0.3692626368
97	0.3688788011
98	0.3688128649
99	0.3687303202
100	0.3685002625
101	0.3681396716
102	0.3677698119
103	0.3675385822
104	0.3671073392
105	0.3668737098
106	0.3659373591
107	0.3654290794
108	0.3650855875
109	0.3648018883
110	0.3645525033
111	0.3643201587
112	0.3640921059
113	0.36385239
114	0.3634725245
115	0.363324473
116	0.3628642386
117	0.3624372819
118	0.3622754243
119	0.3619571152
120	0.3614165855
121	0.3611721163
122	0.3609449247
123	0.360697904
124	0.3603044302
125	0.3599929977
126	0.3596436506
127	0.3593012309
128	0.3590815901
129	0.3588964959
130	0.3586901817
131	0.3584130775
132	0.3583579766
133	0.3582988899
134	0.358065538
135	0.3577761306
136	0.3573221534
137	0.3570927797
138	0.3569613305
139	0.3567591001
140	0.35652533
141	0.3564384846
142	0.3561213286
143	0.3559101705
144	0.3557985712
145	0.3556733227
146	0.3553107582
147	0.3552041462
148	0.3551446208
149	0.3550338541
150	0.3549032255
151	0.3547539668
152	0.3544662977
153	0.3541945283
154	0.3538506156
155	0.3535573849
156	0.3533414993
157	0.3530862519
158	0.352817248
159	0.3525612476
160	0.3520839176
161	0.3519125259
162	0.3517102825
163	0.3515670639
164	0.3514014458
165	0.3512296818
166	0.35102808
167	0.3508822976
168	0.3507809393
169	0.35057176
170	0.3503744947
171	0.3501502039
172	0.349944677
173	0.3497051198
174	0.3495596754
175	0.3491024453
176	0.3487491337
177	0.3485352688
178	0.3482384279
179	0.347941629
180	0.3476401814
181	0.3474379902
182	0.3473481127
183	0.34714625
184	0.3469478544
185	0.3467013524
186	0.3465346219
187	0.3463374041
188	0.3461944108
189	0.3460218479
190	0.3458868773
191	0.3456142001
192	0.3453734714
193	0.3448619296
194	0.3445799857
195	0.3443879953
196	0.3443308883
197	0.3441583657
198	0.3436110359
199	0.3431954132
200	0.3429391692
201	0.3427081541
202	0.3425154653
203	0.3421837939
204	0.341925157
205	0.3416740644
206	0.3414556034
207	0.3413495859
208	0.3409890558
209	0.3406106202
210	0.3401348043
211	0.3398231424
212	0.3395347777
213	0.3394026029
214	0.3393387475
215	0.3390381041
216	0.3388305068
217	0.3386161998
218	0.3385131153
219	0.3384477571
220	0.3383447183
221	0.3382491527
222	0.338053405
223	0.3380084206
224	0.3378668928
225	0.3376155283
226	0.3375199362
227	0.3372348664
228	0.3369569308
229	0.336806631
230	0.336711028
231	0.3365039634
232	0.3363252192
233	0.3361832789
234	0.3359083298
235	0.335724976
236	0.3356304705
237	0.3353743332
238	0.3350960865
239	0.3349751009
240	0.3347625956
241	0.3346629403
242	0.3345183931
243	0.3343459724
244	0.334099686
245	0.3339878052
246	0.3338391866
247	0.3335220893
248	0.3334159844
249	0.3332926356
250	0.3330412319
251	0.332845558
252	0.3327883403
253	0.3325526352
254	0.3322889551
255	0.3321556191
256	0.3320404078
257	0.3318443142
258	0.3317824717
259	0.3315272134
260	0.3311864175
261	0.3310682717
262	0.3309347257
263	0.3307647674
264	0.3306665673
265	0.3305620236
266	0.3305148475
267	0.3303075233
268	0.3299432806
269	0.329780275
270	0.3296287718
271	0.3292894255
272	0.3290747212
273	0.3289923366
274	0.3288587007
275	0.3286840401
276	0.3284851309
277	0.3283745864
278	0.32793866
279	0.3277333247
280	0.3275428012
281	0.3274309448
282	0.3273152037
283	0.327116758
284	0.3268900224
285	0.3268111815
286	0.3266636858
287	0.3265106917
288	0.3262301886
289	0.3261921493
290	0.3260936081
291	0.3258867203
292	0.3254859576
293	0.3252161186
294	0.3249588546
295	0.3248617028
296	0.3246884885
297	0.3246118015
298	0.3243708722
299	0.3242676981
300	0.3241836619
301	0.3240985838
302	0.3240080605
303	0.3237772296
304	0.3234891615
305	0.3232496945
306	0.3231651159
307	0.3230440015
308	0.3228376956
309	0.322580401
310	0.3223913624
311	0.322115983
312	0.3219855352
313	0.3218613007
314	0.3217756273
315	0.321554625
316	0.3213243776
317	0.3212672603
318	0.3212136264
319	0.3210784307
320	0.3208676559
321	0.3207869843
322	0.3206128609
323	0.3204438231
324	0.3203254226
325	0.3201594581
326	0.3200126713
327	0.3198846765
328	0.3197584286
329	0.3195878317
330	0.3194421257
331	0.3192999421
332	0.3190754974
333	0.318898073
334	0.3187902247
335	0.3186520094
336	0.3185729893
337	0.3184761718
338	0.3181967829
339	0.318004946
340	0.3178746484
341	0.3176837209
342	0.3173940487
343	0.3172805054
344	0.3170107317
345	0.3168533246
346	0.3167367621
347	0.3165615934
348	0.3164540768
349	0.3162893858
350	0.3160568489
351	0.3158703395
352	0.3158327242
353	0.3155687415
354	0.315451504
355	0.3153578543
356	0.3152139771
357	0.3151637409
358	0.315046685
359	0.3149282282
360	0.3147318987
361	0.3145522696
362	0.3142947708
363	0.3142491064
364	0.3141055032
365	0.3140309678
366	0.3137453431
367	0.3135875263
368	0.3134805935
369	0.3133546164
370	0.313226205
371	0.3131792147
372	0.3130885672
373	0.3128861146
374	0.3126971991
375	0.3125503219
376	0.3124140622
377	0.3123365327
378	0.3120546264
379	0.3119888675
380	0.3118534764
381	0.3117300383
382	0.3114501852
383	0.3110853203
384	0.3108666267
385	0.3107556019
386	0.310732319
387	0.3105521351
388	0.3103416742
389	0.3100536283
390	0.3098419107
391	0.3096449385
392	0.3095693541
393	0.3094273648
394	0.3092985906
395	0.3092667261
396	0.309208003
397	0.3091444376
398	0.3089035141
399	0.3087929007
400	0.3087345582
401	0.3086215023
402	0.3084622891
403	0.3083378577
404	0.3082536898
405	0.3081028795
406	0.3078449949
407	0.3076755624
408	0.3074528972
409	0.3072189918
410	0.3070998598
411	0.3069664688
412	0.3068665049
413	0.3066832549
414	0.3066477446
415	0.3065399254
416	0.3064433697
417	0.3063244228
418	0.3062361675
419	0.3061672356
420	0.3060259479
421	0.3058213314
422	0.3057325678
423	0.3055889429
424	0.3054557203
425	0.3053469033
426	0.3052883774
427	0.3051605296
428	0.3050427989
429	0.304941652
430	0.3048645413
431	0.3047005529
432	0.3044610722
433	0.3043774689
434	0.3042433763
435	0.3041596057
436	0.30378388
437	0.3036004433
438	0.3033180172
439	0.3031068513
440	0.3029570613
441	0.3027338866
442	0.3026530094
443	0.3024814884
444	0.3024173958
445	0.3022457114
446	0.3021723463
447	0.3020331073
448	0.3017839087
449	0.3016994032
450	0.3016083628
451	0.3015636586
452	0.3014686967
453	0.3013540572
454	0.3012317266
455	0.3011364911
456	0.3010148585
457	0.3008823493
458	0.3007243899
459	0.3005860815
460	0.3004699143
461	0.300366281
462	0.3002935246
463	0.3000676222
464	0.2999966445
465	0.2998969065
466	0.2998728145
467	0.2996601842
468	0.2995754684
469	0.2995399289
470	0.2993911767
471	0.2993687932
472	0.2993000002
473	0.2991654353
474	0.2990176991
475	0.2989147648
476	0.2987533099
477	0.2986499646
478	0.2986207021
479	0.2983804276
480	0.2983163982
481	0.2981107616
482	0.2979821845
483	0.2978151169
484	0.2977629225
485	0.297685926
486	0.2976542244
487	0.2975358021
488	0.2974181124
489	0.2973215483
490	0.2970173932
491	0.2968416816
492	0.2966488466
493	0.2965152943
494	0.2963448034
495	0.2961590652
496	0.2961100505
497	0.2959747171
498	0.2959122234
499	0.2957822737
500	0.2956958623
501	0.2956248307
502	0.2954624916
503	0.295313814
504	0.2951588954
505	0.2950687903
506	0.2950061698
507	0.2949623145
508	0.2948751114
509	0.2947852732
510	0.2946701687
511	0.2946158087
512	0.2945540801
513	0.2944777496
514	0.2943759343
515	0.2943111386
516	0.2942535069
517	0.2941886897
518	0.2940669393
519	0.2938643464
520	0.2938499307
521	0.293706228
522	0.2936101487
523	0.293465702
524	0.2934031423
525	0.2933371795
526	0.2932071311
527	0.2930385389
528	0.2929237014
529	0.2927967809
530	0.2926647985
531	0.2926053345
532	0.2924144967
533	0.2921455664
534	0.2920550925
535	0.2919296062
536	0.2918159081
537	0.2917373101
538	0.2916764828
539	0.2915795462
540	0.2915316349
541	0.291457969
542	0.2914011944
543	0.2913345199
544	0.2912677534
545	0.291148941
546	0.2908270209
547	0.2907693878
548	0.2906375471
549	0.2904783088
550	0.290203667
551	0.2901092415
552	0.2900477995
553	0.2899918082
554	0.289904362
555	0.2897599846
556	0.2895358816
557	0.2894516496
558	0.289224726
559	0.2891489726
560	0.2890689212
561	0.2888299057
562	0.2887437291
563	0.2885532082
564	0.2884179521
565	0.2882955792
566	0.288226836
567	0.288168569
568	0.2880807322
569	0.2878745143
570	0.2877767017
571	0.2876878125
572	0.2875667086
573	0.2874001136
574	0.2872147767
575	0.2871370332
576	0.2870166183
577	0.2869570504
578	0.2868169992
579	0.2867016954
580	0.2866045114
581	0.2864928932
582	0.2863351353
583	0.286201359
584	0.2859653763
585	0.2857923874
586	0.2856599992
587	0.2855471503
588	0.2853378881
589	0.28499308
590	0.2849207308
591	0.2847999703
592	0.2847110389
593	0.284609854
594	0.2845171553
595	0.2843980871
596	0.2843454808
597	0.2842376649
598	0.2841402285
599	0.2839110469
600	0.2838247283
601	0.2837069484
602	0.2836758993
603	0.2835692319
604	0.2833522337
605	0.2833066425
606	0.2832522387
607	0.2831488917
608	0.2829699364
609	0.2828795267
610	0.2826750713
611	0.2826204578
612	0.2825695252
613	0.2825509989
614	0.2824505252
615	0.2823907911
616	0.2820880806
617	0.2819929399
618	0.2819302147
619	0.2817604506
620	0.2816420515
621	0.2816167884
622	0.2815658434
623	0.2813881517
624	0.2812749862
625	0.2811951528
626	0.2811056054
627	0.2810461439
628	0.2809532326
629	0.280840899
630	0.2807528917
631	0.2806327024
632	0.2805363038
633	0.2803713249
634	0.2802651351
635	0.2800972364
636	0.279986005
637	0.2799043396
638	0.2798686052
639	0.2798084136
640	0.2797066234
641	0.2796334552
642	0.2795283503
643	0.279464132
644	0.2793782761
645	0.2791945384
646	0.2791706363
647	0.2790233111
648	0.2790116428
649	0.2789403608
650	0.2788816774
651	0.2788039183
652	0.2787215681
653	0.2786280484
654	0.2785178816
655	0.278444541
656	0.2782991068
657	0.2782378823
658	0.2781031654
659	0.277961952
660	0.2778063937
661	0.2777472832
662	0.2776633596
663	0.2774431984
664	0.2773418217
665	0.2771940094
666	0.2770996991
667	0.2769805112
668	0.2768866654
669	0.2768070579
670	0.2766269424
671	0.2765324932
672	0.2764534346
673	0.2763915868
674	0.276243247
675	0.276109834
676	0.2760669947
677	0.2759569245
678	0.275904878
679	0.2756858156
680	0.2755955506
681	0.2754926703
682	0.2753312134
683	0.2752700726
684	0.2751724311
685	0.2750777704
686	0.274957098
687	0.2748827742
688	0.2747428956
689	0.274588865
690	0.2745262911
691	0.2743997546
692	0.2742089084
693	0.274134109
694	0.2739993093
695	0.2738843908
696	0.2737518226
697	0.2736450935
698	0.2736119014
699	0.2734912482
700	0.2732513624
701	0.2731734449
702	0.2730729162
703	0.272933075
704	0.2728516364
705	0.2726159707
706	0.2724884232
707	0.2724086642
708	0.2723588361
709	0.2723511003
710	0.2722961377
711	0.2722168988
712	0.2721165359
713	0.2720513628
714	0.2719814522
715	0.2718676679
716	0.271829612
717	0.2717532189
718	0.27158201
719	0.271400698
720	0.2713667694
721	0.2712931958
722	0.2711961327
723	0.2710956776
724	0.2709890391
725	0.2708236302
726	0.2707519179
727	0.2706861409
728	0.2706436241
729	0.2705511434
730	0.2705232629
