iter	Passed	Remaining
440	2207	295
441	2212	290
442	2217	285
443	2222	280
444	2227	275
445	2232	270
446	2238	265
447	2243	260
448	2248	255
449	2253	250
450	2257	245
451	2263	240
452	2268	235
453	2273	230
454	2278	225
455	2283	220
456	2288	215
457	2293	210
458	2298	205
459	2303	200
460	2308	195
461	2313	190
462	2318	185
463	2323	180
464	2327	175
465	2332	170
466	2337	165
467	2342	160
468	2347	155
469	2352	150
470	2357	145
471	2362	140
472	2366	135
473	2371	130
474	2376	125
475	2381	120
476	2386	115
477	2391	110
478	2396	105
479	2401	100
480	2405	95
481	2410	90
482	2415	85
483	2420	80
484	2426	75
485	2431	70
486	2436	65
487	2441	60
488	2446	55
489	2451	50
490	2456	45
491	2461	40
492	2466	35
493	2471	30
494	2476	25
495	2481	20
496	2487	15
497	2492	10
498	2496	5
499	2501	0
