iter	Passed	Remaining
419	2522	2402
420	2528	2396
421	2534	2390
422	2540	2384
423	2546	2378
424	2552	2372
425	2558	2366
426	2564	2360
427	2570	2354
428	2576	2348
429	2582	2342
430	2588	2336
431	2594	2330
432	2600	2324
433	2606	2318
434	2612	2312
435	2618	2306
436	2624	2300
437	2630	2294
438	2636	2288
439	2642	2281
440	2648	2275
441	2654	2269
442	2660	2263
443	2665	2257
444	2671	2251
445	2678	2245
446	2683	2239
447	2690	2233
448	2696	2227
449	2701	2221
450	2707	2215
451	2714	2209
452	2720	2203
453	2725	2197
454	2731	2191
455	2737	2185
456	2743	2179
457	2749	2173
458	2755	2167
459	2761	2161
460	2767	2155
461	2773	2149
462	2779	2143
463	2785	2136
464	2791	2130
465	2797	2124
466	2803	2118
467	2808	2112
468	2814	2106
469	2820	2100
470	2826	2094
471	2832	2088
472	2838	2082
473	2844	2076
474	2850	2070
475	2856	2064
476	2862	2058
477	2868	2052
478	2874	2046
479	2880	2040
480	2885	2033
481	2892	2028
482	2897	2021
483	2903	2015
484	2909	2009
485	2915	2003
486	2921	1997
487	2927	1991
488	2933	1985
489	2939	1979
490	2945	1973
491	2951	1967
492	2956	1961
493	2962	1955
494	2968	1949
495	2974	1942
496	2980	1936
497	2986	1930
498	2992	1924
499	2998	1918
500	3003	1912
501	3009	1906
502	3015	1900
503	3021	1894
504	3027	1888
505	3032	1881
506	3038	1875
507	3044	1869
508	3050	1863
509	3056	1857
510	3061	1851
511	3067	1845
512	3073	1839
513	3079	1833
514	3085	1827
515	3091	1821
516	3097	1815
517	3103	1809
518	3109	1803
519	3114	1797
520	3120	1791
521	3126	1785
522	3132	1779
523	3138	1772
524	3144	1766
525	3150	1760
526	3156	1754
527	3162	1748
528	3168	1742
529	3173	1736
530	3179	1730
531	3185	1724
532	3191	1718
533	3197	1712
534	3203	1706
535	3208	1700
536	3214	1694
537	3220	1688
538	3226	1682
539	3232	1676
540	3238	1670
541	3244	1664
542	3250	1658
543	3256	1652
544	3262	1645
545	3268	1640
546	3273	1633
547	3279	1627
548	3285	1621
549	3291	1615
550	3297	1609
551	3303	1603
552	3309	1597
553	3315	1591
554	3320	1585
555	3326	1579
556	3332	1573
557	3338	1567
558	3344	1561
559	3350	1555
560	3356	1549
561	3362	1543
562	3368	1537
563	3374	1531
564	3379	1525
565	3385	1519
566	3391	1513
567	3397	1507
568	3403	1501
569	3409	1495
570	3415	1489
571	3420	1483
572	3426	1477
573	3432	1471
574	3438	1465
575	3444	1459
576	3450	1453
577	3456	1447
578	3462	1441
579	3468	1435
580	3473	1429
581	3479	1423
582	3485	1417
583	3491	1411
584	3497	1405
585	3503	1399
586	3509	1393
587	3515	1387
588	3521	1381
589	3527	1375
590	3533	1369
591	3539	1363
592	3545	1357
593	3551	1351
594	3557	1345
595	3563	1339
596	3568	1333
597	3574	1327
598	3580	1321
599	3586	1315
600	3592	1309
601	3598	1303
602	3604	1297
603	3609	1290
604	3615	1284
605	3621	1278
606	3627	1272
607	3633	1266
608	3639	1260
609	3645	1254
610	3650	1248
611	3656	1242
612	3662	1236
613	3668	1230
614	3674	1224
615	3680	1218
616	3686	1212
617	3692	1206
618	3698	1200
619	3704	1194
620	3710	1188
621	3716	1183
622	3722	1177
623	3728	1171
624	3734	1165
625	3740	1159
626	3746	1153
627	3752	1147
628	3758	1141
629	3764	1135
630	3770	1129
631	3776	1123
632	3781	1117
633	3788	1111
634	3793	1105
635	3799	1099
636	3805	1093
637	3811	1087
638	3817	1081
639	3823	1075
640	3829	1069
641	3835	1063
642	3841	1057
643	3846	1051
644	3852	1045
645	3858	1039
646	3864	1033
647	3870	1027
648	3876	1021
649	3882	1015
650	3888	1009
651	3894	1003
652	3900	997
653	3906	991
654	3912	985
655	3917	979
656	3923	973
657	3929	967
658	3935	961
659	3941	955
660	3947	949
661	3953	943
662	3959	937
663	3965	931
664	3971	925
665	3977	919
666	3983	913
667	3989	907
668	3995	901
669	4001	895
670	4007	889
671	4012	883
672	4018	877
673	4024	871
674	4030	865
675	4036	859
676	4042	853
677	4048	847
678	4053	841
679	4059	835
680	4065	829
681	4071	823
682	4077	817
683	4083	811
684	4089	805
685	4095	799
686	4101	793
687	4107	788
688	4113	782
689	4119	776
690	4125	770
691	4131	764
692	4136	758
693	4143	752
694	4148	746
695	4154	740
696	4160	734
697	4166	728
698	4172	722
699	4178	716
700	4184	710
701	4190	704
702	4196	698
703	4202	692
704	4208	686
705	4214	680
706	4220	674
707	4226	668
708	4232	662
709	4238	656
710	4244	650
711	4250	644
712	4255	638
713	4262	632
714	4268	626
715	4273	620
716	4279	614
717	4286	608
718	4291	602
719	4298	596
720	4303	590
721	4309	584
722	4315	579
723	4321	573
724	4327	567
725	4333	561
726	4339	555
727	4345	549
728	4351	543
729	4357	537
730	4363	531
731	4369	525
732	4375	519
733	4381	513
734	4387	507
735	4393	501
736	4399	495
737	4405	489
738	4411	483
739	4417	477
740	4423	471
741	4428	465
742	4434	459
743	4440	453
744	4446	447
745	4452	441
746	4458	435
747	4464	429
748	4470	423
749	4476	417
750	4482	411
751	4488	405
752	4494	399
753	4500	393
754	4505	387
755	4511	381
756	4517	375
757	4523	370
758	4529	364
759	4535	358
760	4541	352
761	4547	346
762	4553	340
763	4558	334
764	4564	328
765	4570	322
766	4576	316
767	4582	310
768	4588	304
769	4594	298
770	4600	292
771	4606	286
772	4612	280
773	4618	274
774	4624	268
775	4629	262
776	4635	256
777	4641	250
778	4647	244
779	4653	238
780	4659	232
781	4665	226
782	4671	220
783	4676	214
784	4682	208
785	4688	202
786	4694	196
787	4700	190
788	4706	184
789	4712	178
790	4718	172
791	4724	167
792	4730	161
793	4736	155
794	4742	149
795	4748	143
796	4753	137
797	4759	131
798	4765	125
799	4771	119
800	4777	113
801	4783	107
802	4788	101
803	4794	95
804	4800	89
805	4806	83
806	4812	77
807	4818	71
808	4823	65
809	4829	59
810	4835	53
811	4841	47
812	4847	41
813	4852	35
814	4858	29
815	4864	23
816	4870	17
817	4876	11
818	4882	5
819	4888	0
