iter	MultiClass
0	1.091355296
1	1.085514707
2	1.075785336
3	1.066968432
4	1.05842049
5	1.051276374
6	1.045639821
7	1.040455305
8	1.035019337
9	1.02896541
10	1.021614652
11	1.016066981
12	1.009570372
13	1.004313689
14	0.9970482708
15	0.9916809115
16	0.9859880104
17	0.9800694251
18	0.9746778494
19	0.9695132695
20	0.9648182245
21	0.9599956862
22	0.9532254297
23	0.9461137652
24	0.9415158504
25	0.9353316372
26	0.9301825665
27	0.9256929455
28	0.9217116079
29	0.9162707779
30	0.9115926919
31	0.9069620318
32	0.9023267741
33	0.8978011259
34	0.8937454323
35	0.8898761247
36	0.8861392321
37	0.8819451923
38	0.8782009439
39	0.8725103071
40	0.8683605066
41	0.8639777021
42	0.8597075449
43	0.8560321454
44	0.8518198731
45	0.8468881354
46	0.8426345231
47	0.8394956116
48	0.8359946031
49	0.8324263235
50	0.8276285157
51	0.8231104562
52	0.8197154049
53	0.8162938611
54	0.8129822165
55	0.8094273576
56	0.8061683132
57	0.8016674328
58	0.7982692164
59	0.7952494519
60	0.7912996981
61	0.7881379792
62	0.7847432449
63	0.7812291038
64	0.7776089922
65	0.774284659
66	0.7710885425
67	0.7677248253
68	0.7641820941
69	0.7607275818
70	0.7571718658
71	0.7545927208
72	0.7516781734
73	0.7487482278
74	0.7457877207
75	0.7431076862
76	0.7401398225
77	0.737772633
78	0.7343565235
79	0.7315594454
80	0.7288893254
81	0.7262540654
82	0.7239152622
83	0.7207026333
84	0.7179749529
85	0.715523502
86	0.713273009
87	0.7109659002
88	0.708185674
89	0.7056356195
90	0.7027948645
91	0.7004519165
92	0.6977436684
93	0.6952589157
94	0.6925023475
95	0.6899198146
96	0.6875217392
97	0.6852677602
98	0.6825951196
99	0.6798476204
100	0.6775871788
101	0.6752470084
102	0.6727335576
103	0.6705876581
104	0.6685311832
105	0.6664164756
106	0.6641660295
107	0.6619367637
108	0.6598786618
109	0.6575574758
110	0.6553327767
111	0.6531471152
112	0.6508133725
113	0.6487631118
114	0.6466906036
115	0.6445881704
116	0.6424234817
117	0.6402779585
118	0.6383263323
119	0.636442281
120	0.634291538
121	0.6322369897
122	0.6299657858
123	0.6279781842
124	0.6259225959
125	0.6237499263
126	0.6218266867
127	0.6197172891
128	0.6175363508
129	0.6156314807
130	0.6138373921
131	0.6120526561
132	0.6100492339
133	0.6083834284
134	0.606732924
135	0.604876447
136	0.603132943
137	0.601231573
138	0.5994477396
139	0.5977895554
140	0.5961577981
141	0.5943159371
142	0.5923891466
143	0.5906285318
144	0.5891365221
145	0.5873500552
146	0.585960014
147	0.5843760156
148	0.5825702366
149	0.5809906887
150	0.5791375183
151	0.5772319721
152	0.5756991173
153	0.574046935
154	0.5726131265
155	0.570991425
156	0.5690071377
157	0.5673982161
158	0.5657620822
159	0.5641761117
160	0.5626868121
161	0.5609975596
162	0.5591598015
163	0.557559065
164	0.5558169362
165	0.554217297
166	0.5525290807
167	0.5507326426
168	0.5491038649
169	0.5474652361
170	0.5460000085
171	0.5444365196
172	0.5429681553
173	0.5414449376
174	0.5400759952
175	0.5386668307
176	0.5373163641
177	0.5358696613
178	0.5344725122
179	0.5332580053
180	0.531923571
181	0.5305463822
182	0.5291775563
183	0.5277591151
184	0.526300189
185	0.5249910759
186	0.523612873
187	0.5221541773
188	0.520791104
189	0.519430795
190	0.5182003107
191	0.5168796164
192	0.5155425627
193	0.5142998874
194	0.5126362037
195	0.5112674062
196	0.509870833
197	0.5083785922
198	0.5070078971
199	0.5056657355
200	0.5043235035
201	0.5030351334
202	0.5017610385
203	0.5003684326
204	0.4991769642
205	0.4979957101
206	0.496782873
207	0.4954482352
208	0.4941236787
209	0.4928174142
210	0.4916012347
211	0.4904128378
212	0.4891764611
213	0.4880325869
214	0.4868131647
215	0.4857026746
216	0.4844507349
217	0.4833983084
218	0.4821925911
219	0.4810141776
220	0.4799032995
221	0.4785339101
222	0.4771657024
223	0.47597864
224	0.4748988947
225	0.4738740472
226	0.4727808586
227	0.4718690362
228	0.4707158815
229	0.4696688014
230	0.46825826
231	0.4672306539
232	0.466178949
233	0.4650446174
234	0.4640206959
235	0.4628475996
236	0.4616625251
237	0.4606433523
238	0.4596863064
239	0.4586101708
240	0.4575328202
241	0.4563455473
242	0.455429099
243	0.4543682291
244	0.4533662067
245	0.4520894147
246	0.4509979243
247	0.4499242301
248	0.4489930644
249	0.4479953391
250	0.4469055744
251	0.445867697
252	0.4448475458
253	0.4437991755
254	0.4429160303
255	0.4419033484
256	0.4408735225
257	0.4398560949
258	0.4388758505
259	0.4378389306
260	0.4368297597
261	0.435851724
262	0.434753914
263	0.4337425779
264	0.432412842
265	0.4313892428
266	0.430404113
267	0.4295655415
268	0.4287821012
269	0.4278284454
270	0.4268740912
271	0.4259267387
272	0.4249983244
273	0.4240299619
274	0.4230726603
275	0.4221291098
276	0.421248935
277	0.4202840122
278	0.4193751086
279	0.41843892
280	0.4175432866
281	0.4165861383
282	0.4157670533
283	0.4148669841
284	0.4138590214
285	0.4130299588
286	0.4120714442
287	0.4111750793
288	0.4102109906
289	0.4092600463
290	0.4084002918
291	0.4074630515
292	0.4066003793
293	0.4057815543
294	0.4050183505
295	0.4041886231
296	0.4033717075
297	0.4025885089
298	0.4016564163
299	0.4007953789
300	0.4001135369
301	0.3993515615
302	0.3984469142
303	0.3975460278
304	0.3967272681
305	0.3959121857
306	0.3950175216
307	0.3941119419
308	0.3934140429
309	0.3926180506
310	0.3917493487
311	0.3909699147
312	0.3902052708
313	0.3894074186
314	0.3885627427
315	0.3876953442
316	0.3870400597
317	0.386205646
318	0.3853331893
319	0.3845490561
320	0.3837424328
321	0.38299406
322	0.3823147787
323	0.381472083
324	0.3807696334
325	0.3800086405
326	0.3792280405
327	0.3784266999
328	0.3776359162
329	0.3768657736
330	0.3761671415
